IDStore,OutletLocation,OutletCategory,StreetAddress1,StreetAddress2,UrbanVillage,Sub-district,City,Province,PostalCode,OpenTime,ClosedTime,GoogleRating,GoFoodRating,GrabFoodRating,YummyAdvisorRating
ID1001,Binjai Super Mall,Shopping Mall,Jalan Soekarno Hatta No.14,Unit G-0140,Timbang Langkat,Binjai Timur,Binjai,Sumatera Utara,20735,10:00:00 AM,08:00:00 PM,5,4.9,4.9,3.9
ID1002,Ring Road Citywalk Medan,Shopping Mall,Jl. Ring Road No.28,Lantai 1,Tanjung Rejo,Medan Sunggal,Medan,Sumatera Utara,20122,11:00:00 AM,09:00:00 PM,4.4,4.8,4.8,
ID1003,Sun Plaza Medan,Shopping Mall,Jl. KH. Zainul Arifin No.7,Lantai LG,Madras Hulu,Medan Polonia,Medan,Sumatera Utara,20152,10:00:00 AM,09:00:00 PM,4,4.8,4.8,3.9
ID1004,Delipark Medan,Shopping Mall,Jl. Guru Patimpus No.1 ,LG-32A,Silalas,Medan Barat,Medan,Sumatera Utara,20111,11:00:00 AM,09:00:00 PM,4.4,4.8,4.7,
ID1005,Thamrin Plaza Medan,Shopping Mall,Jln. Thamrin No. 75,Lantai 1 Veranda,R Medan,Medan Kota,Medan,Sumatera Utara,20214,10:00:00 AM,09:00:00 PM,4.6,4.8,4.8,
ID1006,Baloi Batam,CafeStore,Jl. Pembangunan No. 2,,Batu Selicin,Lubuk Baja,Batam,Kepulauan Riau,29444,08:00:00 AM,11:45:00 PM,4.4,4.8,4.7,3
ID1007,Megamall Batam Center,Shopping Mall,Jl. Engku Putri No. 1   ,Unit GF 227,Belian,Batam Kota,Batam,Kepulauan Riau,29461,10:00:00 AM,10:00:00 PM,4.8,4.8,,
ID1008,Patimura Padang,CafeStore,Jalan Pattimura No. 9,,Kampung Jao,Padang Barat,Padang,Sumatera Barat,25117,09:00:00 AM,10:00:00 PM,4.6,4.8,,
ID1009,Palembang Icon Mall,Shopping Mall,Jl. POM IX  ,Unit G-66,Lorok Pakjo,Ilir Barat 1,Palembang,Sumatera Selatan,30137,10:00:00 AM,10:00:00 PM,4.6,4.8,,
ID1010,Palembang Trade Center,Shopping Mall,Jl. R. Sukmanto No. 8A,GF Area Selasar,8 Ilir,Ilir Tim. II,Palembang,Sumatera Selatan,30164,10:00:00 AM,10:00:00 PM,4.6,4.8,,
ID1011,Ahmad Yani,CafeStore,Jl. Jenderal Ahmad Yani No. 31-53,,Gotong Royong,Tanjung Karang Pusat,Bandar Lampung,Lampung,35213,07:00:00 AM,10:00:00 PM,4.8,4.8,4.8,3.4
ID1012,Mall Boemi Kedaton,Shopping Mall,Jl. Sultan Agung No.1,Unit F1 R12-R14,Labuhan Ratu,Kedaton,Bandar Lampung,Lampung,35132,10:00:00 AM,09:00:00 PM,4,4.8,4.7,
ID2001,Renon,CafeStore,Jl. Cok Agung Tresna No.37A,,Dangin Puri Klod,Denpasar Timur,Denpasar,Bali ,80234,08:00:00 AM,10:00:00 PM,4.4,4.8,4.8,3.5
ID3001,Mall Ratu Indah Makassar,Shopping Mall,Jl. DR. Ratulangi No.35,unit GF 025,Mamajang Luar,Mamajang,Makassar,Sulawesi Selatan,90132,10:00:00 AM,10:00:00 PM,4.9,4.8,,
ID3002,Mall Panakkukang Makassar,Shopping Mall,Jalan Boulevard,Unit BE 1-28,Masale,Panakkukang,Makassar,Sulawesi Selatan,90231,10:00:00 AM,09:00:00 PM,4.3,4.8,,
ID3003,Nipah Mall,Shopping Mall,Jl. Urip Sumoharjo No.23C,Lower Ground,Panaikang,Panakkukang,Makassar,Sulawesi Selatan,90231,09:00:00 AM,10:00:00 PM,4.3,4.8,,
ID4001,Gaia Bumi Raya City,Shopping Mall,Jl. Arteri Supadio No.17A,unit GF 17A,Sungai Raya,Sungai Raya,Kubu Raya,Kalimantan Barat,78121,10:00:00 AM,10:00:00 PM,4.6,4.7,,
