ID Transaksi,Produk,Kategori,Satuan,Kuantitas,Harga Satuan,Total Harga,Tanggal Pembelian
T1860,Kuas,Alat,Buah,4,18000,72000,1/8/2024
T1121,Cat Kayu,Cat,Kaleng,7,89000,623000,1/3/2024
T1871,Kuas,Alat,Buah,8,18000,144000,1/8/2024
T1769,Cat Tembok,Cat,Kaleng,6,232000,1392000,1/8/2024
T1955,Batu Bata,Material Konstruksi,Buah,2,1000,2000,1/5/2024
T1021,Semen,Material Konstruksi,Zak,10,63000,630000,1/9/2024
T1699,Semen,Material Konstruksi,Zak,10,63000,630000,1/3/2024
T1831,Kuas,Alat,Buah,4,18000,72000,1/9/2024
T1646,Cat Tembok,Cat,Kaleng,5,232000,1160000,1/5/2024
T1387,Sambungan PVC,Bahan Logam dan PVC,Buah,7,11000,77000,1/9/2024
T1776,Pasir,Material Konstruksi,Meter Kubik,10,447000,4470000,1/5/2024
T1091,Pasir,Material Konstruksi,Meter Kubik,4,447000,1788000,1/7/2024
T1205,Pipa PVC,Bahan Logam dan PVC,Batang,3,50000,150000,1/1/2024
T2025,Besi Beton,Bahan Logam dan PVC,Batang,2,101000,202000,1/6/2024
T1702,Batu Bata,Material Konstruksi,Buah,10,1000,10000,1/2/2024
T1995,Pasir,Material Konstruksi,Meter Kubik,10,447000,4470000,1/8/2024
T1295,Kuas,Alat,Buah,9,18000,162000,1/5/2024
T1791,Pasir,Material Konstruksi,Meter Kubik,5,447000,2235000,1/9/2024
T1520,Sambungan PVC,Bahan Logam dan PVC,Buah,1,11000,11000,1/8/2024
T1592,Semen,Material Konstruksi,Zak,8,63000,504000,1/8/2024
T1288,Cat Tembok,Cat,Kaleng,3,232000,696000,1/5/2024
T1040,Kuas,Alat,Buah,10,18000,180000,1/7/2024
T1779,Sambungan PVC,Bahan Logam dan PVC,Buah,8,11000,88000,1/2/2024
T1406,Semen,Material Konstruksi,Zak,7,63000,441000,1/8/2024
T1683,Cat Kayu,Cat,Kaleng,3,89000,267000,1/8/2024
T1960,Batu Bata,Material Konstruksi,Buah,3,1000,3000,1/3/2024
T2028,Cat Kayu,Cat,Kaleng,3,89000,267000,1/7/2024
T1206,Kuas,Alat,Buah,9,18000,162000,1/3/2024
T1563,Kuas,Alat,Buah,1,18000,18000,1/4/2024
T1230,Cat Kayu,Cat,Kaleng,7,89000,623000,1/4/2024
T1577,Kuas,Alat,Buah,3,18000,54000,1/9/2024
T1795,Cat Kayu,Cat,Kaleng,6,89000,534000,1/4/2024
T1189,Kuas,Alat,Buah,9,18000,162000,1/1/2024
T1632,Semen,Material Konstruksi,Zak,9,63000,567000,1/4/2024
T1709,Sambungan PVC,Bahan Logam dan PVC,Buah,3,11000,33000,1/8/2024
T1683,Sambungan PVC,Bahan Logam dan PVC,Buah,5,11000,55000,1/8/2024
T1441,Batu Bata,Material Konstruksi,Buah,8,1000,8000,1/4/2024
T1951,Kuas,Alat,Buah,2,18000,36000,1/1/2024
T1641,Semen,Material Konstruksi,Zak,2,63000,126000,1/6/2024
T1384,Kuas,Alat,Buah,5,18000,90000,1/3/2024
T1729,Pasir,Material Konstruksi,Meter Kubik,5,447000,2235000,1/6/2024
T1202,Kuas,Alat,Buah,4,18000,72000,1/8/2024
T1279,Semen,Material Konstruksi,Zak,6,63000,378000,1/5/2024
T1197,Besi Beton,Bahan Logam dan PVC,Batang,2,101000,202000,1/6/2024
T1186,Semen,Material Konstruksi,Zak,9,63000,567000,1/6/2024
T1763,Cat Tembok,Cat,Kaleng,4,232000,928000,1/4/2024
T1146,Cat Tembok,Cat,Kaleng,10,232000,2320000,1/4/2024
T1488,Kuas,Alat,Buah,4,18000,72000,1/1/2024
T1337,Pipa PVC,Bahan Logam dan PVC,Batang,7,50000,350000,1/8/2024
T1472,Semen,Material Konstruksi,Zak,9,63000,567000,1/2/2024
T1262,Kuas,Alat,Buah,10,18000,180000,1/9/2024
T1001,Besi Beton,Bahan Logam dan PVC,Batang,1,101000,101000,1/1/2024
T2014,Cat Kayu,Cat,Kaleng,5,89000,445000,1/9/2024
T1815,Sambungan PVC,Bahan Logam dan PVC,Buah,3,11000,33000,1/3/2024
